Src   Dst   Srvport  Utilized (ns)   Utilization
179   106   NO       2038108144      67.94%
1     48    NO       2026335716      67.54%
38    69    NO       2003145296      66.77%
19    69    NO       1998666824      66.62%
122   146   NO       1991347648      66.38%
12    205   NO       1971666832      65.72%
36    85    NO       1967263764      65.58%
148   179   NO       1958186352      65.27%
84    68    NO       1940182932      64.67%
12    159   NO       1930495680      64.35%
169   64    NO       1924358372      64.15%
201   130   NO       1916904316      63.90%
101   164   NO       1916380240      63.88%
164   4     NO       1915258726      63.84%
36    167   NO       1895752928      63.19%
68    84    NO       1895146020      63.17%
190   215   NO       1890622252      63.02%
87    2     NO       1889291712      62.98%
53    187   NO       1888496384      62.95%
152   84    NO       1885513728      62.85%
151   141   NO       1884937128      62.83%
136   45    NO       1884935640      62.83%
202   143   NO       1880487488      62.68%
17    130   NO       1878646624      62.62%
141   111   NO       1875277952      62.51%
44    161   NO       1870625712      62.35%
29    129   NO       1866724648      62.22%
149   178   NO       1866340248      62.21%
148   209   NO       1863200252      62.11%
52    155   NO       1859665780      61.99%
167   32    NO       1858726044      61.96%
186   52    NO       1858302016      61.94%
96    85    NO       1857725596      61.92%
135   87    NO       1856531488      61.88%
210   122   NO       1854412644      61.81%
2     110   NO       1853366464      61.78%
159   60    NO       1852667840      61.76%
87    135   NO       1852512064      61.75%
179   133   NO       1851443616      61.71%
161   44    NO       1848729632      61.62%
69    38    NO       1848583296      61.62%
89    98    NO       1848228144      61.61%
126   148   NO       1846745488      61.56%
209   108   NO       1845768720      61.53%
158   61    NO       1843370200      61.45%
115   106   NO       1842277956      61.41%
77    4     NO       1841297440      61.38%
77    190   NO       1841002384      61.37%
96    109   NO       1839511592      61.32%
191   103   NO       1839484908      61.32%
130   201   NO       1838279808      61.28%
202   75    NO       1837517040      61.25%
139   169   NO       1836200752      61.21%
150   195   NO       1835434864      61.18%
178   107   NO       1834965820      61.17%
180   97    NO       1832453344      61.08%
13    158   NO       1829400256      60.98%
85    69    NO       1829202596      60.97%
98    89    NO       1827546912      60.92%
34    139   NO       1826434104      60.88%
124   99    NO       1824614160      60.82%
110   2     NO       1823164768      60.77%
17    213   NO       1822944192      60.76%
39    68    NO       1821947776      60.73%
58    29    NO       1821703904      60.72%
213   17    NO       1821062448      60.70%
82    130   NO       1821021872      60.70%
202   4     NO       1819822784      60.66%
164   20    NO       1818278068      60.61%
213   58    NO       1816594064      60.55%
108   97    NO       1815507108      60.52%
177   141   NO       1813234592      60.44%
85    136   NO       1812503036      60.42%
54    108   NO       1811354124      60.38%
174   209   NO       1810695936      60.36%
126   207   NO       1810243008      60.34%
99    88    NO       1809350852      60.31%
83    104   NO       1807595760      60.25%
110   201   NO       1806030580      60.20%
34    187   NO       1805347608      60.18%
4     164   NO       1803789396      60.13%
44    9     NO       1803068048      60.10%
104   41    NO       1802735440      60.09%
172   135   NO       1800844240      60.03%
63    106   NO       1800258300      60.01%
194   151   NO       1797948712      59.93%
178   193   NO       1797625056      59.92%
82    105   NO       1795989744      59.87%
65    139   NO       1795367088      59.85%
47    31    NO       1795338152      59.84%
200   87    NO       1795299568      59.84%
84    152   NO       1794717684      59.82%
209   82    NO       1794462368      59.82%
209   2     NO       1794097088      59.80%
90    173   NO       1793842504      59.79%
106   63    NO       1793221924      59.77%
136   85    NO       1792844192      59.76%
61    126   NO       1792843252      59.76%
45    136   NO       1790986752      59.70%
45    199   NO       1790978260      59.70%
2     87    NO       1790750784      59.69%
28    59    NO       1790022000      59.67%
56    133   NO       1789543688      59.65%
30    46    NO       1788671432      59.62%
202   29    NO       1788557624      59.62%
75    594   YES      1788513080      59.62%
56    171   NO       1788326416      59.61%
58    213   NO       1787905040      59.60%
213   195   NO       1787780672      59.59%
121   202   NO       1785306700      59.51%
205   12    NO       1785265040      59.51%
45    71    NO       1784541728      59.48%
19    184   NO       1784326644      59.48%
154   53    NO       1784115528      59.47%
55    131   NO       1782678240      59.42%
36    126   NO       1782654944      59.42%
128   28    NO       1782463136      59.42%
96    181   NO       1781800944      59.39%
88    99    NO       1781077020      59.37%
62    50    NO       1778778616      59.29%
169   116   NO       1777937840      59.26%
69    19    NO       1777121344      59.24%
200   111   NO       1776605728      59.22%
107   143   NO       1776280956      59.21%
48    56    NO       1774391648      59.15%
27    77    NO       1773932016      59.13%
90    28    NO       1773848816      59.13%
193   152   NO       1773776144      59.13%
54    8     NO       1773637844      59.12%
213   52    NO       1772841600      59.09%
59    28    NO       1772762024      59.09%
118   18    NO       1771502432      59.05%
152   193   NO       1771102240      59.04%
20    110   NO       1770427160      59.01%
127   37    NO       1769940240      59.00%
195   213   NO       1769660064      58.99%
122   52    NO       1769306052      58.98%
85    186   NO       1767466772      58.92%
68    39    NO       1767007668      58.90%
163   184   NO       1766553256      58.89%
181   96    NO       1766145996      58.87%
108   209   NO       1765711440      58.86%
206   113   NO       1764060640      58.80%
23    115   NO       1763987584      58.80%
126   10    NO       1763544888      58.78%
187   1154  YES      1763370832      58.78%
19    119   NO       1762005360      58.73%
60    159   NO       1761909652      58.73%
88    150   NO       1760262336      58.68%
104   187   NO       1759297488      58.64%
22    114   NO       1759265892      58.64%
