Src   Dst   Srvport  Utilized (ns)   Utilization
0     1     NO       2178031519      4.36%
1     0     NO       1948471862      3.90%
1     16    YES      613584499       1.23%
0     8     YES      562114311       1.12%
16    1     YES      516990073       1.03%
10    1     YES      459043783       0.92%
1     13    YES      383814502       0.77%
4     0     YES      378341514       0.76%
7     0     YES      378004830       0.76%
0     6     YES      376941510       0.75%
0     7     YES      351403587       0.70%
0     4     YES      351293527       0.70%
3     0     YES      339663810       0.68%
13    1     YES      330658550       0.66%
0     3     YES      321951029       0.64%
6     0     YES      307055372       0.61%
8     0     YES      302272863       0.60%
17    1     YES      293207635       0.59%
1     10    YES      290520370       0.58%
1     14    YES      289320943       0.58%
14    1     YES      277532630       0.56%
5     0     YES      276320391       0.55%
1     11    YES      275172629       0.55%
2     0     YES      269404726       0.54%
0     9     YES      265839110       0.53%
11    1     YES      265593167       0.53%
15    1     YES      255285530       0.51%
1     17    YES      244318183       0.49%
0     2     YES      243804724       0.49%
9     0     YES      237028388       0.47%
1     12    YES      234790398       0.47%
1     15    YES      232762794       0.47%
0     5     YES      231129138       0.46%
12    1     YES      220594528       0.44%
