FlowId     Src   Dst   Sent (byte)  Total (byte) Duration (ms)  Progress  
0          17    9     5592         5592         0.04           100.00%
1          11    3     6209         6209         0.06           100.00%
2          11    5     6249         6249         0.05           100.00%
3          6     10    9276         9276         0.08           100.00%
4          4     12    9791         9791         0.07           100.00%
5          5     17    43848        43848        0.38           100.00%
6          15    2     12096        12096        0.14           100.00%
7          12    2     9072         9072         0.08           100.00%
8          4     15    12774        12774        0.11           100.00%
9          11    9     5668         5668         0.05           100.00%
10         15    3     5088         5088         0.04           100.00%
11         3     14    5493         5493         0.04           100.00%
12         12    5     11049        11049        0.10           100.00%
13         13    4     8589         8589         0.06           100.00%
14         17    3     23685        23685        0.19           100.00%
15         7     13    5209         5209         0.04           100.00%
16         3     17    29597        29597        0.25           100.00%
17         3     14    5860         5860         0.05           100.00%
18         13    4     8455         8455         0.06           100.00%
19         7     15    18056        18056        0.16           100.00%
20         11    6     6295         6295         0.06           100.00%
21         2     13    18605        18605        0.17           100.00%
22         10    3     5131         5131         0.05           100.00%
23         14    3     8155         8155         0.05           100.00%
24         7     12    5483         5483         0.04           100.00%
25         11    3     5409         5409         0.04           100.00%
26         3     14    11542        11542        0.09           100.00%
27         14    5     12652        12652        0.10           100.00%
28         10    5     22544        22544        0.22           100.00%
29         17    6     8041         8041         0.07           100.00%
30         8     16    11588        11588        0.09           100.00%
31         15    9     9301         9301         0.09           100.00%
32         15    6     20464        20464        0.19           100.00%
33         5     10    6107         6107         0.05           100.00%
34         8     14    38269        38269        0.29           100.00%
35         3     11    8175         8175         0.06           100.00%
36         13    8     10087        10087        0.10           100.00%
37         11    9     7322         7322         0.06           100.00%
38         3     10    18587        18587        0.16           100.00%
39         14    4     4853         4853         0.04           100.00%
40         10    2     6035         6035         0.05           100.00%
41         14    2     4934         4934         0.04           100.00%
42         2     14    4795         4795         0.04           100.00%
43         17    5     5198         5198         0.04           100.00%
44         6     11    243972       243972       2.00           100.00%
45         12    4     4838         4838         0.14           100.00%
46         6     10    7132         7132         0.06           100.00%
47         9     15    6037         6037         0.05           100.00%
48         15    8     79583        79583        0.64           100.00%
49         13    3     5405         5405         0.18           100.00%
50         14    7     10290        10290        0.13           100.00%
51         11    5     24078        24078        0.25           100.00%
52         12    5     13912        13912        0.13           100.00%
53         15    9     55456        55456        0.66           100.00%
54         15    8     7290         7290         0.16           100.00%
55         5     16    21899        21899        0.72           100.00%
56         10    3     23087        23087        0.55           100.00%
57         17    5     23084        23084        0.52           100.00%
58         2     17    16577        16577        0.15           100.00%
59         9     10    8679         8679         0.06           100.00%
60         4     11    18828        18828        0.16           100.00%
61         15    6     50111        50111        0.46           100.00%
62         17    4     7208         7208         0.06           100.00%
63         16    7     24361        24361        0.23           100.00%
64         5     14    408172       408172       3.97           100.00%
65         15    8     6822         6822         0.19           100.00%
66         14    5     24785        24785        1.96           100.00%
67         11    5     13269        13269        0.60           100.00%
