FlowId     Src   Dst   Sent (byte)  Total (byte) Duration (ms)  Progress  
0          760   558   5592         5592         0.14           100.00%
1          840   343   6209         6209         0.12           100.00%
2          858   249   6249         6249         0.15           100.00%
3          402   1037  9276         9276         0.20           100.00%
4          290   467   9791         9791         0.21           100.00%
5          328   872   43848        43848        0.51           100.00%
6          1090  429   12096        12096        0.20           100.00%
7          896   654   9072         9072         0.17           100.00%
8          318   326   12774        12774        0.18           100.00%
9          895   776   5668         5668         0.17           100.00%
10         1096  642   5088         5088         0.15           100.00%
11         244   251   5493         5493         0.17           100.00%
12         927   327   11049        11049        0.19           100.00%
13         980   271   8589         8589         0.17           100.00%
14         716   906   23685        23685        0.27           100.00%
15         493   1131  5209         5209         0.10           100.00%
16         201   776   29597        29597        0.35           100.00%
17         242   974   5860         5860         0.14           100.00%
18         980   394   8455         8455         0.17           100.00%
19         504   159   18056        18056        0.28           100.00%
20         869   463   6295         6295         0.15           100.00%
21         170   253   18605        18605        0.25           100.00%
22         780   892   5131         5131         0.15           100.00%
23         1033  267   8155         8155         0.16           100.00%
24         487   1026  5483         5483         0.17           100.00%
25         843   329   5409         5409         0.16           100.00%
26         241   423   11542        11542        0.19           100.00%
27         1054  880   12652        12652        0.23           100.00%
28         798   1014  22544        22544        0.32           100.00%
29         743   969   8041         8041         0.13           100.00%
30         519   1122  11588        11588        0.22           100.00%
31         1144  507   9301         9301         0.20           100.00%
32         1121  691   20464        20464        0.24           100.00%
33         342   384   6107         6107         0.17           100.00%
34         564   179   38269        38269        0.43           100.00%
35         221   167   8175         8175         0.22           100.00%
36         1009  809   10087        10087        0.18           100.00%
37         888   1007  7322         7322         0.16           100.00%
38         214   1025  18587        18587        0.23           100.00%
39         1047  788   4853         4853         0.11           100.00%
40         772   1040  6035         6035         0.17           100.00%
41         1031  1125  4934         4934         0.14           100.00%
42         181   967   4795         4795         0.13           100.00%
43         730   589   5198         5198         0.08           100.00%
44         413   1042  243972       243972       2.25           100.00%
45         913   890   4838         4838         0.14           100.00%
46         404   797   7132         7132         0.16           100.00%
47         637   964   6037         6037         0.12           100.00%
48         1142  1025  79583        79583        0.78           100.00%
49         974   837   5405         5405         0.19           100.00%
50         1070  828   10290        10290        0.18           100.00%
51         863   1033  24078        24078        0.34           100.00%
52         921   873   13912        13912        0.25           100.00%
53         1146  302   55456        55456        0.61           100.00%
54         1137  768   7290         7290         0.16           100.00%
55         323   635   21899        21899        0.32           100.00%
56         778   948   23087        23087        0.29           100.00%
57         731   750   23084        23084        0.33           100.00%
58         142   553   16577        16577        0.27           100.00%
59         592   164   8679         8679         0.20           100.00%
60         287   1025  18828        18828        0.29           100.00%
61         1127  1094  50111        50111        0.50           100.00%
62         726   659   7208         7208         0.18           100.00%
63         685   299   24361        24361        0.34           100.00%
64         370   802   408172       408172       3.59           100.00%
65         1141  663   6822         6822         0.12           100.00%
66         1054  284   24785        24785        0.34           100.00%
67         860   292   13269        13269        0.21           100.00%
68         530   317   182080       182080       1.62           100.00%
69         1100  896   31183        31183        0.36           100.00%
70         773   1073  7216         7216         0.13           100.00%
71         670   1054  7069         7069         0.18           100.00%
72         787   329   39564        39564        0.44           100.00%
73         360   679   20820        20820        0.31           100.00%
74         240   1034  19842        19842        0.27           100.00%
75         665   1014  16526        16526        0.27           100.00%
76         239   1133  11334        11334        0.22           100.00%
77         927   819   16366        16366        0.23           100.00%
78         164   802   5196         5196         0.15           100.00%
79         323   262   5364         5364         0.16           100.00%
80         1103  888   17870        17870        0.28           100.00%
81         978   843   6393         6393         0.18           100.00%
82         607   952   45126        45126        0.52           100.00%
83         283   220   6384         6384         0.15           100.00%
84         448   813   12773        12773        0.20           100.00%
85         1115  523   7908         7908         0.16           100.00%
86         535   590   45983        45983        0.49           100.00%
87         839   260   11550        11550        0.22           100.00%
88         958   695   13262        13262        0.24           100.00%
89         1088  890   8371         8371         0.22           100.00%
90         746   553   11326        11326        0.19           100.00%
91         367   290   19517        19517        0.30           100.00%
92         1006  1021  6886         6886         0.15           100.00%
93         657   382   11659        11659        0.22           100.00%
94         281   560   13013        13013        0.21           100.00%
95         416   793   5393         5393         0.14           100.00%
96         543   154   7237         7237         0.18           100.00%
97         1140  943   32699        32699        0.38           100.00%
98         555   686   10493        10493        0.16           100.00%
99         799   218   19793        19793        0.21           100.00%
100        287   1125  8292         8292         0.19           100.00%
101        837   1135  12595        12595        0.23           100.00%
102        324   1036  7464         7464         0.16           100.00%
103        830   195   37996        37996        0.46           100.00%
104        1064  636   65146        65146        0.66           100.00%
105        989   150   29475        29475        0.35           100.00%
106        195   134   157592       157592       1.44           100.00%
107        789   964   7589         7589         0.19           100.00%
108        296   307   7604         7604         0.13           100.00%
109        1054  471   4927         4927         0.14           100.00%
110        976   135   13090        13090        0.21           100.00%
111        787   985   6910         6910         0.18           100.00%
112        671   986   7284         7284         0.18           100.00%
113        967   582   6971         6971         0.15           100.00%
114        833   517   10027        10027        0.21           100.00%
115        356   960   5504         5504         0.14           100.00%
116        779   937   26925        26925        0.33           100.00%
117        429   358   6788         6788         0.18           100.00%
118        475   838   43842        43842        0.45           100.00%
119        177   557   23453        23453        0.30           100.00%
120        170   770   7776         7776         0.19           100.00%
121        485   742   7475         7475         0.16           100.00%
122        339   402   7562         7562         0.19           100.00%
123        222   755   12598        12598        0.23           100.00%
124        226   515   6471         6471         0.15           100.00%
125        1002  1060  5747         5747         0.14           100.00%
126        734   559   56714        56714        0.62           100.00%
127        710   532   21993        21993        0.28           100.00%
128        983   253   8056         8056         0.16           100.00%
129        140   456   5249         5249         0.13           100.00%
130        736   799   6161         6161         0.17           100.00%
131        719   794   6642         6642         0.18           100.00%
132        248   974   5054         5054         0.10           100.00%
133        174   810   5746         5746         0.14           100.00%
134        428   460   12199        12199        0.23           100.00%
135        875   462   63132        63132        0.61           100.00%
136        863   995   5306         5306         0.13           100.00%
137        383   572   5771         5771         0.17           100.00%
138        838   1004  7098         7098         0.16           100.00%
139        407   189   5996         5996         0.17           100.00%
140        1027  471   10249        10249        0.18           100.00%
141        276   647   8441         8441         0.11           100.00%
142        1139  166   11281        11281        0.19           100.00%
143        274   658   13062        13062        0.21           100.00%
144        1045  1116  4943         4943         0.14           100.00%
145        240   743   6457         6457         0.12           100.00%
146        492   704   5206         5206         0.15           100.00%
147        451   944   4905         4905         0.14           100.00%
148        1086  649   10421        10421        0.18           100.00%
149        194   450   5518         5518         0.17           100.00%
150        970   142   4769         4769         0.11           100.00%
151        1110  749   7557         7557         0.19           100.00%
152        185   339   19779        19779        0.27           100.00%
153        883   1076  110041       110041       1.05           100.00%
154        624   488   6070         6070         0.17           100.00%
155        819   814   5878         5878         0.14           100.00%
156        994   296   5406         5406         0.16           100.00%
157        328   234   13537        13537        0.21           100.00%
158        794   653   4847         4847         0.14           100.00%
159        1093  386   6442         6442         0.15           100.00%
160        397   801   20974        20974        0.28           100.00%
161        512   1083  5037         5037         0.08           100.00%
162        515   531   5997         5997         0.17           100.00%
163        813   917   5135         5135         0.15           100.00%
164        180   409   7735         7735         0.16           100.00%
165        591   854   21669        21669        0.25           100.00%
166        232   149   15260        15260        0.23           100.00%
167        921   489   5340         5340         0.16           100.00%
168        505   261   7853         7853         0.19           100.00%
169        389   249   8367         8367         0.17           100.00%
170        359   756   5142         5142         0.15           100.00%
171        855   879   23884        23884        0.33           100.00%
172        1144  844   5482         5482         0.17           100.00%
173        890   627   7092         7092         0.15           100.00%
174        680   516   5044         5044         0.15           100.00%
175        553   662   46021        46021        0.49           100.00%
176        1050  410   13584        13584        0.24           100.00%
177        679   1097  14477        14477        0.22           100.00%
178        1027  181   18625        18625        0.23           100.00%
179        189   589   32121        32121        0.41           100.00%
180        788   223   5012         5012         0.12           100.00%
181        607   714   30685        30685        0.39           100.00%
182        333   504   13871        13871        0.21           100.00%
183        723   218   5838         5838         0.12           100.00%
184        878   476   13967        13967        0.24           100.00%
185        401   605   5653         5653         0.11           100.00%
186        279   800   41555        41555        0.44           100.00%
187        1054  728   11901        11901        0.17           100.00%
188        790   555   5021         5021         0.10           100.00%
189        833   208   12797        12797        0.18           100.00%
190        936   1142  6113         6113         0.15           100.00%
191        886   517   5187         5187         0.13           100.00%
192        1138  886   53771        53771        0.59           100.00%
193        1057  337   7872         7872         0.16           100.00%
194        360   415   9101         9101         0.20           100.00%
195        313   757   9424         9424         0.17           100.00%
196        1109  942   5459         5459         0.14           100.00%
197        350   1012  4770         4770         0.11           100.00%
198        605   251   16444        16444        0.24           100.00%
199        371   607   14907        14907        0.26           100.00%
200        165   261   11592        11592        0.22           100.00%
201        1025  1118  176234       176234       1.66           100.00%
202        188   204   42631        42631        0.46           100.00%
203        1073  615   11758        11758        0.22           100.00%
204        789   1070  7744         7744         0.10           100.00%
205        844   400   8715         8715         0.20           100.00%
206        948   162   5850         5850         0.17           100.00%
207        475   229   7041         7041         0.18           100.00%
208        526   517   86880        86880        0.85           100.00%
209        561   790   65206        65206        0.69           100.00%
210        797   316   5354         5354         0.16           100.00%
211        147   1117  8881         8881         0.17           100.00%
212        191   873   9850         9850         0.21           100.00%
213        480   530   10311        10311        0.15           100.00%
214        483   262   6727         6727         0.15           100.00%
215        427   525   13570        13570        0.24           100.00%
216        136   260   5052         5052         0.10           100.00%
217        536   1146  31717        31717        0.34           100.00%
218        949   983   6393         6393         0.12           100.00%
219        867   854   29668        29668        0.35           100.00%
220        912   967   13771        13771        0.21           100.00%
221        233   445   5527         5527         0.14           100.00%
222        1014  716   5290         5290         0.11           100.00%
223        994   553   17841        17841        0.22           100.00%
224        451   141   17948        17948        0.22           100.00%
225        167   718   65416        65416        0.70           100.00%
226        773   635   24174        24174        0.34           100.00%
227        392   846   8531         8531         0.17           100.00%
228        1037  1060  8859         8859         0.17           100.00%
229        343   1032  11500        11500        0.19           100.00%
230        248   411   22431        22431        0.32           100.00%
231        843   839   12142        12142        0.20           100.00%
232        870   818   9300         9300         0.17           100.00%
233        796   584   8742         8742         0.17           100.00%
234        962   900   32573        32573        0.41           100.00%
235        516   727   125602       125602       1.16           100.00%
236        762   342   53588        53588        0.53           100.00%
237        656   733   6611         6611         0.12           100.00%
238        252   668   6860         6860         0.18           100.00%
239        962   696   30013        30013        0.39           100.00%
240        931   615   7526         7526         0.19           100.00%
241        1101  308   4905         4905         0.14           100.00%
242        812   221   10351        10351        0.21           100.00%
243        837   611   55088        55088        0.57           100.00%
244        336   909   4793         4793         0.13           100.00%
245        204   814   116233       116233       1.14           100.00%
246        136   355   4912         4912         0.14           100.00%
247        809   475   5864         5864         0.17           100.00%
248        169   837   10888        10888        0.22           100.00%
249        462   659   62802        62802        0.58           100.00%
250        296   473   8769         8769         0.14           100.00%
251        274   699   5510         5510         0.17           100.00%
252        810   773   9180         9180         0.14           100.00%
253        868   702   6762         6762         0.12           100.00%
254        145   770   94502        94502        0.91           100.00%
255        898   732   6926         6926         0.13           100.00%
256        378   892   4764         4764         0.11           100.00%
257        429   582   21554        21554        0.31           100.00%
258        930   279   10525        10525        0.13           100.00%
259        148   172   51541        51541        0.54           100.00%
260        1022  394   7302         7302         0.16           100.00%
261        965   788   10462        10462        0.21           100.00%
262        366   830   6305         6305         0.18           100.00%
263        146   1150  6462         6462         0.12           100.00%
264        713   979   94794        94794        0.95           100.00%
265        173   1001  8235         8235         0.16           100.00%
266        795   230   69626        69626        0.70           100.00%
267        314   235   5014         5014         0.14           100.00%
268        1069  614   8701         8701         0.14           100.00%
269        424   195   723475       723475       6.42           100.00%
270        150   1144  24383        24383        0.28           100.00%
271        1142  483   4783         4783         0.09           100.00%
272        1090  584   59099        59099        0.64           100.00%
273        795   770   6506         6506         0.21           100.00%
274        465   942   11122        11122        0.22           100.00%
275        779   294   9433         9433         0.20           100.00%
276        1087  847   22586        22586        0.23           100.00%
277        767   138   14004        14004        0.22           100.00%
278        587   331   7226         7226         0.18           100.00%
279        835   388   6517         6517         0.18           100.00%
280        726   591   252498       252498       2.32           100.00%
281        649   480   5082         5082         0.15           100.00%
282        574   692   35224        35224        0.40           100.00%
283        613   1132  6235         6235         0.15           100.00%
284        746   1095  5890         5890         0.14           100.00%
285        625   261   23781        23781        0.33           100.00%
286        1101  258   5640         5640         0.14           100.00%
287        981   1004  18739        18739        0.29           100.00%
288        616   1139  6344         6344         0.15           100.00%
289        1117  432   9912         9912         0.24           100.00%
290        728   353   7349         7349         0.16           100.00%
291        986   388   8796         8796         0.20           100.00%
292        285   965   7141         7141         0.18           100.00%
293        300   406   11245        11245        0.22           100.00%
294        252   473   11146        11146        0.19           100.00%
295        834   420   387488       387488       3.50           100.00%
296        494   1031  12569        12569        0.23           100.00%
297        407   454   7660         7660         0.16           100.00%
298        870   631   6671         6671         0.18           100.00%
299        605   1146  8721         8721         0.11           100.00%
300        707   593   11637        11637        0.22           100.00%
301        1059  510   6627         6627         0.18           100.00%
302        604   504   24457        24457        0.31           100.00%
303        744   340   13632        13632        0.24           100.00%
304        326   164   9435         9435         0.17           100.00%
305        430   879   13517        13517        0.24           100.00%
306        737   467   24089        24089        0.30           100.00%
307        1118  492   12618        12618        0.20           100.00%
308        412   622   39785        39785        0.44           100.00%
309        1020  981   5407         5407         0.11           100.00%
310        427   612   8728         8728         0.20           100.00%
311        372   1134  8154         8154         0.16           100.00%
312        751   320   6322         6322         0.15           100.00%
313        778   369   7107         7107         0.16           100.00%
314        1101  1084  17523        17523        0.25           100.00%
315        997   441   8423         8423         0.19           100.00%
316        766   812   10935        10935        0.16           100.00%
317        523   991   4992         4992         0.12           100.00%
318        404   1100  5840         5840         0.17           100.00%
319        1042  132   579741       579741       5.11           100.00%
320        723   828   25071        25071        0.26           100.00%
321        149   1052  31376        31376        0.40           100.00%
322        1007  981   9008         9008         0.20           100.00%
323        1130  845   8782         8782         0.20           100.00%
324        858   1072  6783         6783         0.12           100.00%
325        725   336   9722         9722         0.18           100.00%
326        402   168   6060         6060         0.17           100.00%
327        548   771   7322         7322         0.16           100.00%
328        375   733   10592        10592        0.21           100.00%
329        366   1133  23688        23688        0.30           100.00%
330        166   617   7799         7799         0.13           100.00%
331        176   366   12028        12028        0.23           100.00%
332        788   968   5085         5085         0.15           100.00%
333        778   460   121370       121370       1.09           100.00%
334        559   594   10968        10968        0.19           100.00%
335        861   386   9879         9879         0.21           100.00%
336        820   1074  5879         5879         0.14           100.00%
337        1014  1141  253530       253530       2.33           100.00%
338        387   1077  15095        15095        0.26           100.00%
339        155   868   7051         7051         0.15           100.00%
340        200   569   49510        49510        0.50           100.00%
341        402   619   6751         6751         0.15           100.00%
342        836   445   7483         7483         0.16           100.00%
343        979   184   24934        24934        0.34           100.00%
344        353   297   9467         9467         0.15           100.00%
345        815   651   10410        10410        0.18           100.00%
346        260   287   14555        14555        0.16           100.00%
347        1109  571   6730         6730         0.15           100.00%
348        814   902   6886         6886         0.18           100.00%
349        273   393   4800         4800         0.13           100.00%
350        406   1016  7671         7671         0.16           100.00%
351        1089  943   19091        19091        0.29           100.00%
352        574   942   6460         6460         0.15           100.00%
353        453   458   5449         5449         0.16           100.00%
354        942   470   103980       103980       1.03           100.00%
355        518   741   91861        91861        0.89           100.00%
356        1130  618   32467        32467        0.35           100.00%
357        427   600   7803         7803         0.19           100.00%
358        710   747   78062        78062        0.74           100.00%
359        1128  461   6303         6303         0.15           100.00%
360        957   384   7376         7376         0.19           100.00%
361        964   274   26381        26381        0.29           100.00%
362        574   972   24562        24562        0.34           100.00%
363        407   1028  25817        25817        0.32           100.00%
364        749   437   27606        27606        0.33           100.00%
365        1002  135   5583         5583         0.17           100.00%
366        836   190   13820        13820        0.21           100.00%
367        717   310   6804         6804         0.18           100.00%
368        1113  1029  5623         5623         0.17           100.00%
369        1065  991   16564        16564        0.27           100.00%
370        730   182   5059         5059         0.12           100.00%
371        502   433   10769        10769        0.19           100.00%
372        970   651   1283442      1283442      11.25          100.00%
373        734   442   6454         6454         0.15           100.00%
374        814   198   15957        15957        0.23           100.00%
375        694   985   14932        14932        0.17           100.00%
376        963   375   12714        12714        0.23           100.00%
377        385   348   6674         6674         0.18           100.00%
378        718   234   32269        32269        0.37           100.00%
379        221   1105  5380         5380         0.16           100.00%
380        192   411   8472         8472         0.14           100.00%
381        185   917   228981       228981       2.12           100.00%
382        940   909   9666         9666         0.18           100.00%
383        411   227   6191         6191         0.12           100.00%
384        1119  567   22022        22022        0.32           100.00%
385        1142  246   12319        12319        0.20           100.00%
386        836   507   8484         8484         0.17           100.00%
387        856   269   7032         7032         0.18           100.00%
388        948   178   10007        10007        0.21           100.00%
389        551   747   7068         7068         0.18           100.00%
390        979   1080  5578         5578         0.14           100.00%
391        508   188   10687        10687        0.19           100.00%
392        471   1000  6615         6615         0.18           100.00%
393        457   493   14507        14507        0.22           100.00%
394        1062  818   19873        19873        0.30           100.00%
395        306   494   5948         5948         0.14           100.00%
396        928   984   5098         5098         0.12           100.00%
397        216   1040  7679         7679         0.16           100.00%
398        1125  264   31899        31899        0.40           100.00%
399        958   428   14583        14583        0.19           100.00%
400        976   1040  7516         7516         0.16           100.00%
401        240   914   16504        16504        0.27           100.00%
402        290   738   6927         6927         0.13           100.00%
403        1021  866   6924         6924         0.13           100.00%
404        946   567   6661         6661         0.21           100.00%
405        189   1074  7202         7202         0.16           100.00%
406        901   376   7500         7500         0.16           100.00%
407        487   760   9424         9424         0.15           100.00%
408        572   159   15093        15093        0.30           100.00%
409        451   299   17837        17837        0.19           100.00%
410        668   341   43748        43748        0.45           100.00%
411        525   427   6006         6006         0.17           100.00%
412        274   678   11832        11832        0.20           100.00%
413        349   879   106081       106081       1.05           100.00%
414        598   850   4949         4949         0.09           100.00%
415        853   1134  6851         6851         0.15           100.00%
416        207   1124  6602         6602         0.12           100.00%
417        288   604   10807        10807        0.21           100.00%
418        1080  219   46684        46684        0.50           100.00%
419        874   766   27882        27882        0.37           100.00%
420        836   1122  14840        14840        0.19           100.00%
421        253   1129  5376         5376         0.08           100.00%
422        692   290   22735        22735        0.26           100.00%
423        218   144   21569        21569        0.28           100.00%
424        435   303   274723       274723       2.48           100.00%
425        404   663   52784        52784        0.59           100.00%
426        244   843   8854         8854         0.17           100.00%
427        1000  525   6498         6498         0.15           100.00%
428        389   802   12286        12286        0.20           100.00%
429        449   1151  8017         8017         0.19           100.00%
430        290   1063  22068        22068        0.28           100.00%
431        982   858   5046         5046         0.15           100.00%
432        506   388   5329         5329         0.11           100.00%
433        152   530   9743         9743         0.18           100.00%
434        1110  1114  9902         9902         0.21           100.00%
435        435   411   7346         7346         0.13           100.00%
436        542   845   6696         6696         0.21           100.00%
437        850   321   5437         5437         0.16           100.00%
438        1020  790   26113        26113        0.29           100.00%
439        590   898   26741        26741        0.33           100.00%
440        558   135   5041         5041         0.12           100.00%
441        1088  309   6598         6598         0.12           100.00%
442        642   524   11430        11430        0.22           100.00%
443        447   982   48642        48642        0.52           100.00%
444        334   380   4880         4880         0.14           100.00%
445        990   723   22582        22582        0.29           100.00%
446        218   212   5403         5403         0.14           100.00%
447        301   1019  16887        16887        0.21           100.00%
448        1031  321   5633         5633         0.17           100.00%
449        1027  361   35803        35803        0.40           100.00%
450        314   340   46691        46691        0.53           100.00%
451        981   746   14921        14921        0.22           100.00%
452        491   645   5935         5935         0.20           100.00%
453        296   940   10453        10453        0.21           100.00%
454        992   929   5648         5648         0.14           100.00%
455        934   134   6299         6299         0.15           100.00%
456        271   1041  4816         4816         0.16           100.00%
457        480   222   6842         6842         0.18           100.00%
458        287   256   5752         5752         0.09           100.00%
459        243   415   7120         7120         0.16           100.00%
460        960   605   9525         9525         0.20           100.00%
461        579   1122  15058        15058        0.26           100.00%
462        1082  1125  7785         7785         0.19           100.00%
463        660   606   114286       114286       1.12           100.00%
464        429   888   5139         5139         0.15           100.00%
465        335   777   9789         9789         0.21           100.00%
466        857   373   5291         5291         0.16           100.00%
467        1053  160   27584        27584        0.28           100.00%
468        927   976   34678        34678        0.43           100.00%
469        1052  551   5752         5752         0.14           100.00%
470        596   635   6168         6168         0.17           100.00%
471        259   935   4838         4838         0.11           100.00%
472        441   787   6543         6543         0.15           100.00%
473        628   221   21996        21996        0.36           100.00%
474        337   414   7417         7417         0.10           100.00%
475        605   158   6482         6482         0.18           100.00%
476        772   751   6076         6076         0.09           100.00%
477        1114  1147  5623         5623         0.17           100.00%
478        530   880   8842         8842         0.20           100.00%
479        587   804   45501        45501        0.49           100.00%
480        232   534   65703        65703        0.66           100.00%
481        401   316   13105        13105        0.21           100.00%
482        1025  280   23726        23726        0.33           100.00%
483        1022  1147  4981         4981         0.10           100.00%
484        480   1073  36053        36053        0.44           100.00%
