Src   Dst   Srvport  Utilized (ns)   Utilization
305   22    YES      1001439092      2.00%
3     156   YES      979417869       1.96%
22    59    NO       943586488       1.89%
59    3     NO       940009161       1.88%
205   9     YES      908332673       1.82%
3     158   YES      908095705       1.82%
9     3     NO       895571274       1.79%
279   18    YES      384590122       0.77%
312   23    YES      373994046       0.75%
23    316   YES      372651541       0.75%
18    272   YES      372038395       0.74%
23    43    NO       337794038       0.68%
43    18    NO       330502647       0.66%
18    85    NO       326801802       0.65%
85    23    NO       321463993       0.64%
14    247   YES      249134161       0.50%
10    209   YES      231328151       0.46%
12    225   YES      215434912       0.43%
175   5     YES      215125254       0.43%
3     1     NO       212756784       0.43%
246   14    YES      202730959       0.41%
162   4     YES      199062440       0.40%
290   20    YES      198022491       0.40%
4     10    NO       195803989       0.39%
10    211   YES      195566419       0.39%
17    268   YES      193912760       0.39%
5     17    NO       191975170       0.38%
17    10    NO       186195282       0.37%
23    319   YES      179835117       0.36%
157   3     YES      161459381       0.32%
14    105   NO       160108793       0.32%
270   17    YES      154769357       0.31%
64    12    NO       152438720       0.30%
20    64    NO       150315831       0.30%
22    305   YES      148440053       0.30%
1     137   YES      145602188       0.29%
22    309   YES      145409819       0.29%
172   5     YES      142789446       0.29%
1     3     NO       142376912       0.28%
13    238   YES      140211201       0.28%
105   23    NO       139798783       0.28%
134   0     YES      138579163       0.28%
150   2     YES      137694170       0.28%
178   6     YES      137628629       0.28%
19    286   YES      132551642       0.27%
9     205   YES      132235740       0.26%
17    270   YES      131615198       0.26%
3     152   YES      128924910       0.26%
242   14    YES      125545517       0.25%
180   6     YES      124732161       0.25%
235   13    YES      124000027       0.25%
14    244   YES      123803578       0.25%
156   3     YES      120527242       0.24%
252   15    YES      120354226       0.24%
16    258   YES      120219084       0.24%
1     143   YES      119523826       0.24%
158   3     YES      118070380       0.24%
129   0     YES      116516893       0.23%
269   17    YES      115340676       0.23%
4     164   YES      115319157       0.23%
208   10    YES      115104172       0.23%
1     142   YES      114546273       0.23%
190   7     YES      113635924       0.23%
216   11    YES      113455954       0.23%
6     183   YES      112537197       0.23%
153   3     YES      110837425       0.22%
3     159   YES      110532587       0.22%
21    301   YES      110116146       0.22%
16    262   YES      110114952       0.22%
21    300   YES      110027216       0.22%
140   1     YES      110016428       0.22%
170   5     YES      109363694       0.22%
3     9     NO       107946230       0.22%
0     133   YES      107517441       0.22%
142   1     YES      107057020       0.21%
20    290   YES      106511484       0.21%
15    12    NO       106361409       0.21%
7     19    NO       106300860       0.21%
132   0     YES      106211281       0.21%
197   8     YES      106201537       0.21%
2     148   YES      106053238       0.21%
5     3     NO       105855595       0.21%
6     182   YES      105664963       0.21%
245   14    YES      104401484       0.21%
231   12    YES      103260374       0.21%
5     16    NO       103182092       0.21%
165   4     YES      102889605       0.21%
310   22    YES      102461517       0.20%
222   11    YES      102189190       0.20%
2     6     NO       101724710       0.20%
13    235   YES      101701740       0.20%
163   4     YES      101224232       0.20%
254   15    YES      101205217       0.20%
151   2     YES      101140688       0.20%
1     139   YES      101090160       0.20%
293   20    YES      100345236       0.20%
260   16    YES      100267356       0.20%
209   10    YES      99935579        0.20%
10    17    NO       99615965        0.20%
13    42    NO       99583971        0.20%
15    248   YES      98426712        0.20%
284   19    YES      98348067        0.20%
199   8     YES      98253161        0.20%
19    7     NO       98065868        0.20%
185   7     YES      98018412        0.20%
13    237   YES      97936215        0.20%
128   0     YES      97035447        0.19%
1     2     NO       96610697        0.19%
3     153   YES      96505859        0.19%
136   1     YES      95606161        0.19%
6     14    NO       94958471        0.19%
214   10    YES      94760544        0.19%
3     89    NO       94573401        0.19%
12    15    NO       94209674        0.19%
210   10    YES      94069834        0.19%
16    256   YES      93737059        0.19%
173   5     YES      93718272        0.19%
0     134   YES      92382975        0.18%
263   16    YES      92279851        0.18%
17    94    NO       92187887        0.18%
15    4     NO       91979294        0.18%
3     5     NO       91297390        0.18%
13    232   YES      91238413        0.18%
5     173   YES      91225398        0.18%
5     171   YES      91048253        0.18%
8     194   YES      91024777        0.18%
94    22    NO       90725493        0.18%
42    14    NO       90657309        0.18%
147   2     YES      90598943        0.18%
281   19    YES      90504094        0.18%
19    285   YES      89857757        0.18%
226   12    YES      88569867        0.18%
16    261   YES      88566172        0.18%
16    263   YES      88509421        0.18%
169   5     YES      88378616        0.18%
8     199   YES      87888330        0.18%
53    3     NO       87368559        0.17%
10    208   YES      87048765        0.17%
137   1     YES      86961247        0.17%
0     16    NO       86805972        0.17%
19    20    NO       86731659        0.17%
21    298   YES      86722736        0.17%
5     168   YES      86160911        0.17%
89    22    NO       86107979        0.17%
18    277   YES      86074808        0.17%
4     15    NO       86069914        0.17%
20    295   YES      85352628        0.17%
18    279   YES      84803119        0.17%
14    246   YES      84654801        0.17%
21    303   YES      84200116        0.17%
33    14    NO       84155308        0.17%
4     165   YES      84068700        0.17%
4     163   YES      83914752        0.17%
286   19    YES      83450489        0.17%
183   6     YES      83336300        0.17%
11    216   YES      83060026        0.17%
2     53    NO       82933650        0.17%
4     167   YES      82918142        0.17%
4     162   YES      82839240        0.17%
12    228   YES      82162419        0.16%
138   1     YES      81807534        0.16%
17    267   YES      81693144        0.16%
2     149   YES      81585155        0.16%
244   14    YES      81525215        0.16%
251   15    YES      81453262        0.16%
15    33    NO       81345336        0.16%
10    215   YES      81253246        0.16%
277   18    YES      81206139        0.16%
12    224   YES      81004636        0.16%
