Src   Dst   Srvport  Utilized (ns)   Utilization
107   89    NO       9448948336      31.50%
89    845   YES      9365605104      31.22%
991   107   YES      9355288792      31.18%
31    27    NO       1129253560      3.76%
20    31    NO       1095520680      3.65%
27    77    NO       1069356408      3.56%
77    80    NO       1042881744      3.48%
1     125   NO       1007874002      3.36%
80    771   YES      1006330456      3.35%
292   20    YES      995257632       3.32%
89    107   NO       863654160       2.88%
125   1     NO       857626919       2.86%
40    13    NO       799879704       2.67%
13    122   NO       794071880       2.65%
122   44    NO       764049464       2.55%
845   89    YES      759910768       2.53%
107   991   YES      759631840       2.53%
44    24    NO       733434608       2.44%
24    324   YES      693041200       2.31%
451   40    YES      684897272       2.28%
121   29    NO       680513007       2.27%
46    105   NO       652968472       2.18%
10    96    NO       640439688       2.13%
95    73    NO       636726712       2.12%
8     125   NO       636432025       2.12%
68    95    NO       615723352       2.05%
54    114   NO       592772296       1.98%
3     54    NO       581901520       1.94%
108   10    NO       573543041       1.91%
29    121   NO       568916708       1.90%
125   8     NO       566749075       1.89%
73    712   YES      560196968       1.87%
675   68    YES      554237488       1.85%
10    108   NO       549173926       1.83%
96    10    NO       549120323       1.83%
114   46    NO       546465216       1.82%
44    53    NO       535803360       1.79%
36    119   NO       525705812       1.75%
119   36    NO       524774663       1.75%
105   975   YES      523208888       1.74%
15    61    NO       515886784       1.72%
72    80    NO       498807040       1.66%
84    15    NO       495762632       1.65%
0     82    NO       495306553       1.65%
157   3     YES      488365232       1.63%
64    34    NO       481026224       1.60%
18    100   NO       477527936       1.59%
82    0     NO       467010936       1.56%
83    89    NO       461562640       1.54%
17    90    NO       460732023       1.54%
21    25    NO       456957280       1.52%
125   15    NO       452980080       1.51%
25    72    NO       449401688       1.50%
58    83    NO       444686648       1.48%
2     58    NO       444653888       1.48%
80    108   NO       439580920       1.47%
53    74    NO       433590264       1.45%
29    103   NO       427406587       1.42%
69    59    NO       407690384       1.36%
42    55    NO       406813600       1.36%
107   42    NO       401708169       1.34%
90    17    NO       397779613       1.33%
34    69    NO       394595096       1.32%
74    123   NO       386403752       1.29%
55    8     NO       384981320       1.28%
104   72    NO       381762432       1.27%
48    119   NO       372369724       1.24%
124   42    NO       363003224       1.21%
108   992   YES      357645136       1.19%
123   1116  YES      355324416       1.18%
87    32    NO       344441464       1.15%
100   18    NO       343674894       1.15%
101   50    NO       340189656       1.13%
38    94    NO       330996632       1.10%
42    107   NO       330587622       1.10%
145   2     YES      330213352       1.10%
103   4     NO       328859447       1.10%
89    844   YES      327724632       1.09%
301   21    YES      324649488       1.08%
66    41    NO       323414696       1.08%
106   1     NO       321234161       1.07%
