FlowId     Src   Dst   Sent (byte)  Total (byte) Duration (ms)  Progress  
0          200   1118  4764         4764         0.11           100.00%
1          757   942   17392        17392        0.24           100.00%
2          508   793   5191         5191         0.15           100.00%
3          859   587   5503         5503         0.17           100.00%
4          874   224   13432        13432        0.24           100.00%
5          503   1106  5837         5837         0.17           100.00%
6          535   1023  5125         5125         0.17           100.00%
7          369   650   4919         4919         0.14           100.00%
8          553   550   29526        29526        0.35           100.00%
9          526   304   14208        14208        0.22           100.00%
10         1098  465   5315         5315         0.15           100.00%
11         639   175   73404        73404        0.88           100.00%
12         614   500   13863        13863        0.39           100.00%
13         988   555   13740        13740        0.24           100.00%
14         958   909   8062         8062         0.16           100.00%
15         795   458   6699         6699         0.10           100.00%
16         369   558   5080         5080         0.10           100.00%
17         1082  807   9700         9700         0.23           100.00%
18         768   350   14134        14134        0.19           100.00%
19         1073  1066  9145         9145         0.17           100.00%
20         1148  1004  17007        17007        0.27           100.00%
21         948   1116  10831        10831        0.19           100.00%
22         341   712   14861        14861        0.26           100.00%
23         971   382   5762         5762         0.17           100.00%
24         527   686   22865        22865        0.33           100.00%
25         1036  340   10991        10991        0.19           100.00%
26         202   558   77537        77537        0.80           100.00%
27         1074  454   13833        13833        0.21           100.00%
28         370   1079  6260         6260         0.12           100.00%
29         473   1047  13818        13818        0.19           100.00%
30         616   181   15023        15023        0.26           100.00%
31         353   1135  24994        24994        0.39           100.00%
32         1066  419   7404         7404         0.16           100.00%
33         386   1074  15542        15542        0.26           100.00%
34         818   867   23483        23483        0.30           100.00%
35         629   516   4768         4768         0.13           100.00%
36         353   1105  7425         7425         0.16           100.00%
37         909   203   7730         7730         0.13           100.00%
38         520   388   8137         8137         0.19           100.00%
39         1018  282   4790         4790         0.13           100.00%
40         731   462   11203        11203        0.19           100.00%
41         416   446   5946         5946         0.17           100.00%
42         228   366   8663         8663         0.17           100.00%
43         664   388   89863        89863        0.87           100.00%
44         565   146   6539         6539         0.18           100.00%
45         547   933   10648        10648        0.21           100.00%
46         660   401   7798         7798         0.19           100.00%
47         403   439   6449         6449         0.15           100.00%
48         684   225   19696        19696        0.24           100.00%
49         640   374   8824         8824         0.20           100.00%
50         534   956   155509       155509       1.48           100.00%
51         855   657   5278         5278         0.13           100.00%
52         221   1098  10602        10602        0.16           100.00%
53         618   664   35603        35603        0.40           100.00%
54         985   203   8255         8255         0.21           100.00%
55         681   598   8613         8613         0.17           100.00%
56         758   173   6918         6918         0.15           100.00%
57         860   485   171055       171055       1.58           100.00%
58         782   1121  11781        11781        0.20           100.00%
59         911   809   11518        11518        0.19           100.00%
60         945   526   29744        29744        0.39           100.00%
61         958   571   12362        12362        0.25           100.00%
62         429   1098  7601         7601         0.16           100.00%
63         721   137   207780       207780       1.93           100.00%
64         243   249   5149         5149         0.15           100.00%
65         743   202   21887        21887        0.32           100.00%
66         1118  667   7095         7095         0.13           100.00%
67         979   1007  6565         6565         0.18           100.00%
68         580   472   9258         9258         0.20           100.00%
69         416   905   56005        56005        0.58           100.00%
70         379   215   5424         5424         0.11           100.00%
71         668   217   63431        63431        0.72           100.00%
72         180   1113  4889         4889         0.14           100.00%
73         136   200   46680        46680        0.50           100.00%
74         671   795   10237        10237        0.21           100.00%
75         882   761   6787         6787         0.15           100.00%
76         620   852   166729       166729       2.50           100.00%
77         571   886   5624         5624         0.11           100.00%
78         676   831   23130        23130        0.29           100.00%
79         234   385   4836         4836         0.14           100.00%
80         241   568   41583        41583        0.49           100.00%
81         465   487   36000        36000        0.44           100.00%
82         1023  877   4848         4848         0.14           100.00%
83         392   238   5731         5731         0.17           100.00%
84         413   372   5883         5883         0.17           100.00%
85         229   847   12112        12112        0.20           100.00%
86         764   381   5640         5640         0.14           100.00%
87         611   850   17877        17877        0.26           100.00%
88         963   799   23980        23980        0.34           100.00%
89         462   947   13227        13227        0.21           100.00%
90         690   837   14377        14377        0.25           100.00%
91         969   146   10154        10154        0.21           100.00%
92         733   703   4824         4824         0.11           100.00%
93         595   713   9764         9764         0.21           100.00%
94         1123  561   7399         7399         0.19           100.00%
95         770   978   8639         8639         0.20           100.00%
96         932   685   4868         4868         0.12           100.00%
97         523   596   13980        13980        0.29           100.00%
98         225   1121  15292        15292        0.29           100.00%
99         318   300   5609         5609         0.17           100.00%
100        920   723   10545        10545        0.18           100.00%
101        902   606   15790        15790        0.26           100.00%
102        816   1123  22038        22038        0.32           100.00%
103        729   370   5388         5388         0.16           100.00%
104        1126  983   6921         6921         0.18           100.00%
105        303   1106  7623         7623         0.16           100.00%
106        830   209   31930        31930        0.41           100.00%
107        1122  981   20157        20157        0.30           100.00%
108        322   1076  5999         5999         0.17           100.00%
109        565   995   88753        88753        0.86           100.00%
110        181   416   11703        11703        0.19           100.00%
111        973   201   33971        33971        0.42           100.00%
112        389   627   21127        21127        0.31           100.00%
113        1116  1136  4782         4782         0.13           100.00%
114        1124  996   6831         6831         0.10           100.00%
115        378   692   4869         4869         0.08           100.00%
116        928   987   6712         6712         0.23           100.00%
117        727   776   9478         9478         0.20           100.00%
118        640   230   4870         4870         0.20           100.00%
119        867   1116  104755       104755       1.04           100.00%
120        928   852   34104        34104        0.42           100.00%
121        435   975   4776         4776         0.11           100.00%
122        323   202   6382         6382         0.18           100.00%
123        449   958   8160         8160         0.16           100.00%
124        1143  191   33593        33593        0.42           100.00%
125        1093  1122  8539         8539         0.14           100.00%
126        310   873   19064        19064        0.29           100.00%
127        199   238   7046         7046         0.18           100.00%
128        154   465   64943        64943        0.69           100.00%
129        756   930   17231        17231        0.24           100.00%
130        329   141   4792         4792         0.13           100.00%
131        771   353   5571         5571         0.14           100.00%
132        416   342   5749         5749         0.12           100.00%
133        904   1094  23309        23309        0.30           100.00%
134        1139  585   641078       641078       5.61           100.00%
135        778   171   5368         5368         0.11           100.00%
136        444   906   40572        40572        0.45           100.00%
137        168   1082  5799         5799         0.12           100.00%
138        345   395   8699         8699         0.20           100.00%
139        498   696   5538         5538         0.17           100.00%
140        316   173   11159        11159        0.22           100.00%
141        450   991   10695        10695        0.16           100.00%
142        166   582   14213        14213        0.27           100.00%
143        823   752   17943        17943        0.36           100.00%
144        493   441   8377         8377         0.17           100.00%
145        780   684   11906        11906        0.20           100.00%
146        681   560   5659         5659         0.17           100.00%
147        192   283   15799        15799        0.31           100.00%
148        482   494   5816         5816         0.17           100.00%
149        1094  668   6120         6120         0.17           100.00%
150        780   1006  6723         6723         0.18           100.00%
151        877   698   9442         9442         0.20           100.00%
152        270   262   5232         5232         0.15           100.00%
153        624   1088  24234        24234        0.30           100.00%
154        372   365   5993         5993         0.15           100.00%
155        621   434   23710        23710        0.30           100.00%
156        308   815   5896         5896         0.17           100.00%
157        916   438   6125         6125         0.12           100.00%
158        557   651   6546         6546         0.18           100.00%
159        1080  379   15102        15102        0.22           100.00%
160        1107  569   53832        53832        0.56           100.00%
161        847   1127  5277         5277         0.13           100.00%
162        911   498   23498        23498        0.27           100.00%
163        504   236   7868         7868         0.19           100.00%
164        255   717   5094         5094         0.12           100.00%
165        745   890   10440        10440        0.18           100.00%
166        243   777   9970         9970         0.21           100.00%
167        129   251   13617        13617        0.54           100.00%
168        859   572   31917        31917        0.40           100.00%
169        223   1131  5919         5919         0.17           100.00%
170        1136  927   7021         7021         0.13           100.00%
171        190   171   36463        36463        0.41           100.00%
172        570   1079  18930        18930        0.29           100.00%
173        770   334   7783         7783         0.13           100.00%
174        285   384   5312         5312         0.16           100.00%
175        544   416   9551         9551         0.18           100.00%
176        750   643   45502        45502        0.52           100.00%
177        203   506   32075        32075        0.34           100.00%
178        247   912   74544        74544        0.78           100.00%
179        1024  333   5959         5959         0.14           100.00%
180        391   689   14488        14488        0.25           100.00%
181        914   403   9896         9896         0.12           100.00%
182        231   784   13214        13214        0.24           100.00%
183        582   945   5570         5570         0.17           100.00%
184        989   215   8278         8278         0.16           100.00%
185        288   703   13066        13066        0.18           100.00%
186        424   612   7499         7499         0.19           100.00%
187        1031  334   8214         8214         0.16           100.00%
188        234   1117  6078         6078         0.17           100.00%
189        207   947   48429        48429        0.51           100.00%
190        678   579   7688         7688         0.16           100.00%
191        322   178   147727       147727       1.41           100.00%
192        206   901   17551        17551        0.25           100.00%
193        1120  869   7107         7107         0.10           100.00%
194        261   248   6775         6775         0.18           100.00%
195        497   881   13380        13380        0.24           100.00%
196        458   657   24941        24941        0.25           100.00%
197        498   1112  11298        11298        0.19           100.00%
198        1124  942   13407        13407        0.21           100.00%
199        764   986   7920         7920         0.16           100.00%
200        830   252   6731         6731         0.12           100.00%
201        885   980   42877        42877        0.47           100.00%
202        439   944   7994         7994         0.19           100.00%
203        334   968   10570        10570        0.16           100.00%
204        1043  672   5661         5661         0.17           100.00%
205        1042  974   4768         4768         0.09           100.00%
206        1014  267   6136         6136         0.17           100.00%
207        505   802   5475         5475         0.17           100.00%
208        1107  1022  7973         7973         0.19           100.00%
209        766   520   38949        38949        0.47           100.00%
210        1121  1019  5379         5379         0.13           100.00%
211        1070  798   5856         5856         0.14           100.00%
212        904   1131  20308        20308        0.27           100.00%
213        1136  166   5305         5305         0.13           100.00%
214        936   208   5265         5265         0.14           100.00%
215        937   708   9780         9780         0.21           100.00%
216        132   718   7033         7033         0.15           100.00%
217        538   735   30982        30982        0.40           100.00%
218        848   1051  9950         9950         0.21           100.00%
219        182   383   9401         9401         0.17           100.00%
220        785   1125  5825         5825         0.14           100.00%
221        875   1078  5201         5201         0.13           100.00%
222        599   1029  6422         6422         0.15           100.00%
223        582   442   37174        37174        0.45           100.00%
224        990   792   33573        33573        0.36           100.00%
225        512   274   4825         4825         0.11           100.00%
226        228   469   5846         5846         0.14           100.00%
227        398   636   108654       108654       1.07           100.00%
228        915   1084  7889         7889         0.19           100.00%
229        438   945   10039        10039        0.21           100.00%
230        156   184   29573        29573        0.38           100.00%
231        232   156   7156         7156         0.18           100.00%
232        1091  375   5926         5926         0.12           100.00%
233        547   652   6075         6075         0.12           100.00%
234        475   738   9272         9272         0.17           100.00%
235        323   402   5061         5061         0.12           100.00%
236        347   746   8170         8170         0.11           100.00%
237        523   792   6253         6253         0.15           100.00%
238        960   651   8723         8723         0.17           100.00%
239        1087  270   10296        10296        0.18           100.00%
240        472   163   7233         7233         0.18           100.00%
241        707   952   5963         5963         0.16           100.00%
242        575   149   4904         4904         0.09           100.00%
243        166   894   15459        15459        0.23           100.00%
244        844   701   205938       205938       1.88           100.00%
245        986   1093  5476         5476         0.17           100.00%
246        806   1043  17820        17820        0.22           100.00%
247        515   1133  9812         9812         0.15           100.00%
248        1052  206   9531         9531         0.20           100.00%
249        940   218   7832         7832         0.19           100.00%
250        840   245   5376         5376         0.13           100.00%
251        485   983   19663        19663        0.26           100.00%
252        136   907   13987        13987        0.21           100.00%
253        764   1113  46787        46787        0.53           100.00%
254        356   569   8412         8412         0.19           100.00%
255        1114  597   6346         6346         0.15           100.00%
256        632   811   6245         6245         0.18           100.00%
257        578   517   36095        36095        0.41           100.00%
258        1009  787   6908         6908         0.14           100.00%
259        691   998   5693         5693         0.14           100.00%
260        583   587   8060         8060         0.16           100.00%
261        613   333   9101         9101         0.20           100.00%
262        192   1073  8879         8879         0.23           100.00%
263        157   644   4831         4831         0.11           100.00%
