Src   Dst   Srvport  Utilized (ns)   Utilization
7     185   YES      38330624        0.08%
185   7     YES      36612048        0.07%
18    278   YES      24643579        0.05%
13    235   YES      21147645        0.04%
278   18    YES      20458439        0.04%
251   15    YES      19266301        0.04%
63    13    NO       18572449        0.04%
7     63    NO       18538634        0.04%
257   16    YES      16411856        0.03%
16    257   YES      14695258        0.03%
175   5     YES      14427642        0.03%
15    251   YES      14264841        0.03%
5     175   YES      11742960        0.02%
18    277   YES      10544254        0.02%
277   18    YES      10417693        0.02%
0     133   YES      10123704        0.02%
4     162   YES      9363098         0.02%
11    217   YES      9049253         0.02%
162   4     YES      7737852         0.02%
21    298   YES      7657185         0.02%
217   11    YES      7642688         0.02%
13    236   YES      7639371         0.02%
226   12    YES      7509567         0.02%
15    18    NO       7335516         0.01%
6     178   YES      7282986         0.01%
236   13    YES      7264158         0.01%
219   11    YES      7010612         0.01%
178   6     YES      7006693         0.01%
136   1     YES      6723362         0.01%
4     5     NO       6677378         0.01%
169   5     YES      6633185         0.01%
12    226   YES      6561451         0.01%
167   4     YES      6559843         0.01%
174   5     YES      6540771         0.01%
1     80    NO       6527944         0.01%
80    0     NO       6461538         0.01%
11    223   YES      6357530         0.01%
298   21    YES      6289551         0.01%
14    244   YES      6257544         0.01%
310   22    YES      6255013         0.01%
11    219   YES      6149349         0.01%
223   11    YES      6068528         0.01%
5     174   YES      6055080         0.01%
142   1     YES      5806291         0.01%
5     169   YES      5715344         0.01%
23    312   YES      5677388         0.01%
14    243   YES      5663784         0.01%
53    16    NO       5557577         0.01%
259   16    YES      5549489         0.01%
1     53    NO       5494478         0.01%
22    310   YES      5388091         0.01%
11    113   NO       5320305         0.01%
260   16    YES      5292008         0.01%
244   14    YES      5122408         0.01%
14    241   YES      4921721         0.01%
1     18    NO       4849368         0.01%
19    285   YES      4793447         0.01%
20    295   YES      4670836         0.01%
276   18    YES      4552128         0.01%
16    259   YES      4406378         0.01%
17    269   YES      4393049         0.01%
241   14    YES      4367755         0.01%
2     1     NO       4356783         0.01%
285   19    YES      4340120         0.01%
306   22    YES      4267584         0.01%
290   20    YES      4247895         0.01%
20    288   YES      4138164         0.01%
267   17    YES      4135057         0.01%
20    290   YES      4102105         0.01%
16    260   YES      4077412         0.01%
295   20    YES      4002535         0.01%
288   20    YES      3997678         0.01%
22    309   YES      3991563         0.01%
10    212   YES      3952991         0.01%
308   22    YES      3943936         0.01%
309   22    YES      3903910         0.01%
319   23    YES      3902900         0.01%
212   10    YES      3867415         0.01%
