FlowId     Src   Dst   Sent (byte)  Total (byte) Duration (ms)  Progress  
0          0     1     0            50000        30000.00 (DNF) 0.00%
1          0     2     0            50000        30000.00 (DNF) 0.00%
2          0     3     0            50000        30000.00 (DNF) 0.00%
3          0     4     0            50000        30000.00 (DNF) 0.00%
4          0     5     0            50000        30000.00 (DNF) 0.00%
5          0     6     0            50000        30000.00 (DNF) 0.00%
6          0     7     0            50000        30000.00 (DNF) 0.00%
7          0     8     1380         50000        30000.00 (DNF) 2.76%
8          0     9     0            50000        30000.00 (DNF) 0.00%
9          0     10    0            50000        30000.00 (DNF) 0.00%
10         0     11    0            50000        30000.00 (DNF) 0.00%
11         0     12    0            50000        30000.00 (DNF) 0.00%
12         0     13    0            50000        30000.00 (DNF) 0.00%
13         0     14    0            50000        30000.00 (DNF) 0.00%
14         0     15    0            50000        30000.00 (DNF) 0.00%
15         0     16    1380         50000        30000.00 (DNF) 2.76%
16         0     17    0            50000        30000.00 (DNF) 0.00%
17         0     18    0            50000        30000.00 (DNF) 0.00%
18         0     19    0            50000        30000.00 (DNF) 0.00%
19         0     20    0            50000        30000.00 (DNF) 0.00%
20         0     21    0            50000        30000.00 (DNF) 0.00%
21         0     22    1380         50000        30000.00 (DNF) 2.76%
22         0     23    1380         50000        30000.00 (DNF) 2.76%
23         0     24    0            50000        30000.00 (DNF) 0.00%
24         0     25    1380         50000        30000.00 (DNF) 2.76%
25         0     26    0            50000        30000.00 (DNF) 0.00%
26         0     27    0            50000        30000.00 (DNF) 0.00%
27         0     28    0            50000        30000.00 (DNF) 0.00%
28         0     29    0            50000        30000.00 (DNF) 0.00%
29         0     30    0            50000        30000.00 (DNF) 0.00%
30         0     31    0            50000        30000.00 (DNF) 0.00%
31         0     32    0            50000        30000.00 (DNF) 0.00%
32         0     33    1380         50000        30000.00 (DNF) 2.76%
33         0     34    0            50000        30000.00 (DNF) 0.00%
34         0     35    0            50000        30000.00 (DNF) 0.00%
35         0     36    0            50000        30000.00 (DNF) 0.00%
36         0     37    0            50000        30000.00 (DNF) 0.00%
37         0     38    37260        50000        30000.00 (DNF) 74.52%
38         0     39    0            50000        30000.00 (DNF) 0.00%
39         0     40    0            50000        30000.00 (DNF) 0.00%
40         0     41    0            50000        30000.00 (DNF) 0.00%
41         0     42    0            50000        30000.00 (DNF) 0.00%
42         0     43    0            50000        30000.00 (DNF) 0.00%
43         0     44    50000        50000        27189.83       100.00%
44         0     45    0            50000        30000.00 (DNF) 0.00%
45         0     46    0            50000        30000.00 (DNF) 0.00%
46         0     47    0            50000        30000.00 (DNF) 0.00%
47         0     48    0            50000        30000.00 (DNF) 0.00%
48         0     49    0            50000        30000.00 (DNF) 0.00%
49         0     50    0            50000        30000.00 (DNF) 0.00%
50         0     51    0            50000        30000.00 (DNF) 0.00%
51         0     52    0            50000        30000.00 (DNF) 0.00%
52         0     53    2760         50000        30000.00 (DNF) 5.52%
53         0     54    0            50000        30000.00 (DNF) 0.00%
54         0     55    0            50000        30000.00 (DNF) 0.00%
55         0     56    0            50000        30000.00 (DNF) 0.00%
56         0     57    0            50000        30000.00 (DNF) 0.00%
57         0     58    0            50000        30000.00 (DNF) 0.00%
58         0     59    0            50000        30000.00 (DNF) 0.00%
59         0     60    0            50000        30000.00 (DNF) 0.00%
60         0     61    0            50000        30000.00 (DNF) 0.00%
61         0     62    0            50000        30000.00 (DNF) 0.00%
62         0     63    0            50000        30000.00 (DNF) 0.00%
63         0     64    0            50000        30000.00 (DNF) 0.00%
64         0     65    2760         50000        30000.00 (DNF) 5.52%
65         0     66    0            50000        30000.00 (DNF) 0.00%
66         0     67    0            50000        30000.00 (DNF) 0.00%
67         0     68    0            50000        30000.00 (DNF) 0.00%
68         0     69    0            50000        30000.00 (DNF) 0.00%
69         0     70    0            50000        30000.00 (DNF) 0.00%
70         0     71    0            50000        30000.00 (DNF) 0.00%
71         0     72    0            50000        30000.00 (DNF) 0.00%
72         0     73    0            50000        30000.00 (DNF) 0.00%
73         0     74    50000        50000        11492.33       100.00%
74         0     75    0            50000        30000.00 (DNF) 0.00%
75         0     76    0            50000        30000.00 (DNF) 0.00%
76         0     77    0            50000        30000.00 (DNF) 0.00%
77         0     78    0            50000        30000.00 (DNF) 0.00%
78         0     79    0            50000        30000.00 (DNF) 0.00%
79         0     80    0            50000        30000.00 (DNF) 0.00%
80         0     81    0            50000        30000.00 (DNF) 0.00%
81         0     82    0            50000        30000.00 (DNF) 0.00%
82         0     83    0            50000        30000.00 (DNF) 0.00%
83         0     84    1380         50000        30000.00 (DNF) 2.76%
84         0     85    0            50000        30000.00 (DNF) 0.00%
85         0     86    2760         50000        30000.00 (DNF) 5.52%
86         0     87    0            50000        30000.00 (DNF) 0.00%
87         0     88    0            50000        30000.00 (DNF) 0.00%
88         0     89    0            50000        30000.00 (DNF) 0.00%
89         0     90    0            50000        30000.00 (DNF) 0.00%
90         0     91    0            50000        30000.00 (DNF) 0.00%
91         0     92    1380         50000        30000.00 (DNF) 2.76%
92         0     93    0            50000        30000.00 (DNF) 0.00%
93         0     94    0            50000        30000.00 (DNF) 0.00%
94         0     95    0            50000        30000.00 (DNF) 0.00%
95         0     96    0            50000        30000.00 (DNF) 0.00%
96         0     97    0            50000        30000.00 (DNF) 0.00%
97         0     98    0            50000        30000.00 (DNF) 0.00%
98         0     99    0            50000        30000.00 (DNF) 0.00%
99         0     100   23460        50000        30000.00 (DNF) 46.92%
100        0     101   0            50000        30000.00 (DNF) 0.00%
101        0     102   0            50000        30000.00 (DNF) 0.00%
102        0     103   50000        50000        3404.39        100.00%
103        0     104   0            50000        30000.00 (DNF) 0.00%
104        0     105   0            50000        30000.00 (DNF) 0.00%
105        0     106   0            50000        30000.00 (DNF) 0.00%
106        0     107   0            50000        30000.00 (DNF) 0.00%
107        0     108   9660         50000        30000.00 (DNF) 19.32%
108        0     109   0            50000        30000.00 (DNF) 0.00%
109        0     110   0            50000        30000.00 (DNF) 0.00%
110        0     111   0            50000        30000.00 (DNF) 0.00%
111        0     112   0            50000        30000.00 (DNF) 0.00%
112        0     113   50000        50000        16271.16       100.00%
113        0     114   0            50000        30000.00 (DNF) 0.00%
114        0     115   0            50000        30000.00 (DNF) 0.00%
115        0     116   0            50000        30000.00 (DNF) 0.00%
116        0     117   0            50000        30000.00 (DNF) 0.00%
117        0     118   0            50000        30000.00 (DNF) 0.00%
118        0     119   2760         50000        30000.00 (DNF) 5.52%
119        0     120   0            50000        30000.00 (DNF) 0.00%
120        0     121   0            50000        30000.00 (DNF) 0.00%
121        0     122   0            50000        30000.00 (DNF) 0.00%
122        0     123   0            50000        30000.00 (DNF) 0.00%
123        0     124   0            50000        30000.00 (DNF) 0.00%
124        0     125   0            50000        30000.00 (DNF) 0.00%
125        0     126   0            50000        30000.00 (DNF) 0.00%
126        0     127   0            50000        30000.00 (DNF) 0.00%
127        1     0     0            50000        30000.00 (DNF) 0.00%
128        1     2     0            50000        30000.00 (DNF) 0.00%
129        1     3     1380         50000        30000.00 (DNF) 2.76%
130        1     4     0            50000        30000.00 (DNF) 0.00%
131        1     5     0            50000        30000.00 (DNF) 0.00%
132        1     6     0            50000        30000.00 (DNF) 0.00%
133        1     7     0            50000        30000.00 (DNF) 0.00%
134        1     8     0            50000        30000.00 (DNF) 0.00%
135        1     9     0            50000        30000.00 (DNF) 0.00%
136        1     10    0            50000        30000.00 (DNF) 0.00%
137        1     11    0            50000        30000.00 (DNF) 0.00%
138        1     12    0            50000        30000.00 (DNF) 0.00%
139        1     13    0            50000        30000.00 (DNF) 0.00%
140        1     14    0            50000        30000.00 (DNF) 0.00%
141        1     15    0            50000        30000.00 (DNF) 0.00%
142        1     16    0            50000        30000.00 (DNF) 0.00%
143        1     17    0            50000        30000.00 (DNF) 0.00%
144        1     18    50000        50000        2962.58        100.00%
145        1     19    0            50000        30000.00 (DNF) 0.00%
146        1     20    2760         50000        30000.00 (DNF) 5.52%
147        1     21    0            50000        30000.00 (DNF) 0.00%
148        1     22    0            50000        30000.00 (DNF) 0.00%
149        1     23    0            50000        30000.00 (DNF) 0.00%
150        1     24    50000        50000        14896.82       100.00%
151        1     25    0            50000        30000.00 (DNF) 0.00%
152        1     26    0            50000        30000.00 (DNF) 0.00%
153        1     27    0            50000        30000.00 (DNF) 0.00%
154        1     28    0            50000        30000.00 (DNF) 0.00%
155        1     29    0            50000        30000.00 (DNF) 0.00%
156        1     30    0            50000        30000.00 (DNF) 0.00%
157        1     31    0            50000        30000.00 (DNF) 0.00%
158        1     32    0            50000        30000.00 (DNF) 0.00%
159        1     33    1380         50000        30000.00 (DNF) 2.76%
160        1     34    0            50000        30000.00 (DNF) 0.00%
161        1     35    0            50000        30000.00 (DNF) 0.00%
162        1     36    2760         50000        30000.00 (DNF) 5.52%
163        1     37    0            50000        30000.00 (DNF) 0.00%
164        1     38    0            50000        30000.00 (DNF) 0.00%
165        1     39    0            50000        30000.00 (DNF) 0.00%
166        1     40    0            50000        30000.00 (DNF) 0.00%
167        1     41    0            50000        30000.00 (DNF) 0.00%
168        1     42    0            50000        30000.00 (DNF) 0.00%
169        1     43    0            50000        30000.00 (DNF) 0.00%
170        1     44    0            50000        30000.00 (DNF) 0.00%
171        1     45    0            50000        30000.00 (DNF) 0.00%
172        1     46    0            50000        30000.00 (DNF) 0.00%
173        1     47    0            50000        30000.00 (DNF) 0.00%
174        1     48    0            50000        30000.00 (DNF) 0.00%
175        1     49    0            50000        30000.00 (DNF) 0.00%
176        1     50    0            50000        30000.00 (DNF) 0.00%
177        1     51    0            50000        30000.00 (DNF) 0.00%
178        1     52    0            50000        30000.00 (DNF) 0.00%
179        1     53    37260        50000        30000.00 (DNF) 74.52%
180        1     54    2760         50000        30000.00 (DNF) 5.52%
181        1     55    0            50000        30000.00 (DNF) 0.00%
182        1     56    0            50000        30000.00 (DNF) 0.00%
183        1     57    0            50000        30000.00 (DNF) 0.00%
184        1     58    0            50000        30000.00 (DNF) 0.00%
185        1     59    0            50000        30000.00 (DNF) 0.00%
186        1     60    0            50000        30000.00 (DNF) 0.00%
187        1     61    0            50000        30000.00 (DNF) 0.00%
188        1     62    0            50000        30000.00 (DNF) 0.00%
189        1     63    0            50000        30000.00 (DNF) 0.00%
190        1     64    0            50000        30000.00 (DNF) 0.00%
191        1     65    0            50000        30000.00 (DNF) 0.00%
192        1     66    0            50000        30000.00 (DNF) 0.00%
193        1     67    0            50000        30000.00 (DNF) 0.00%
194        1     68    0            50000        30000.00 (DNF) 0.00%
195        1     69    2760         50000        30000.00 (DNF) 5.52%
196        1     70    1380         50000        30000.00 (DNF) 2.76%
197        1     71    0            50000        30000.00 (DNF) 0.00%
198        1     72    0            50000        30000.00 (DNF) 0.00%
199        1     73    0            50000        30000.00 (DNF) 0.00%
200        1     74    0            50000        30000.00 (DNF) 0.00%
201        1     75    0            50000        30000.00 (DNF) 0.00%
202        1     76    0            50000        30000.00 (DNF) 0.00%
203        1     77    0            50000        30000.00 (DNF) 0.00%
204        1     78    0            50000        30000.00 (DNF) 0.00%
205        1     79    50000        50000        23109.31       100.00%
206        1     80    50000        50000        8401.61        100.00%
207        1     81    0            50000        30000.00 (DNF) 0.00%
208        1     82    0            50000        30000.00 (DNF) 0.00%
209        1     83    0            50000        30000.00 (DNF) 0.00%
210        1     84    0            50000        30000.00 (DNF) 0.00%
211        1     85    0            50000        30000.00 (DNF) 0.00%
212        1     86    0            50000        30000.00 (DNF) 0.00%
213        1     87    0            50000        30000.00 (DNF) 0.00%
214        1     88    0            50000        30000.00 (DNF) 0.00%
215        1     89    0            50000        30000.00 (DNF) 0.00%
216        1     90    0            50000        30000.00 (DNF) 0.00%
217        1     91    0            50000        30000.00 (DNF) 0.00%
218        1     92    0            50000        30000.00 (DNF) 0.00%
219        1     93    0            50000        30000.00 (DNF) 0.00%
220        1     94    0            50000        30000.00 (DNF) 0.00%
221        1     95    0            50000        30000.00 (DNF) 0.00%
222        1     96    0            50000        30000.00 (DNF) 0.00%
223        1     97    0            50000        30000.00 (DNF) 0.00%
224        1     98    0            50000        30000.00 (DNF) 0.00%
225        1     99    0            50000        30000.00 (DNF) 0.00%
226        1     100   0            50000        30000.00 (DNF) 0.00%
227        1     101   0            50000        30000.00 (DNF) 0.00%
228        1     102   1380         50000        30000.00 (DNF) 2.76%
