Src   Dst   Srvport  Utilized (ns)   Utilization
74    82    YES      30000000000     100.00%
109   101   YES      29999353470     100.00%
82    125   YES      29999283428     100.00%
107   40    YES      29998133860     99.99%
84    66    YES      29997991830     99.99%
31    123   YES      29997977078     99.99%
110   8     YES      29996546666     99.99%
45    102   YES      29995462408     99.98%
62    104   YES      29990965984     99.97%
89    51    YES      29986926152     99.96%
91    19    YES      29986390292     99.95%
8     29    YES      29984958134     99.95%
104   92    YES      29984924208     99.95%
115   8     YES      29984660116     99.95%
47    98    YES      29984517776     99.95%
56    84    YES      29984435658     99.95%
37    93    YES      29984127626     99.95%
17    21    YES      29981875784     99.94%
52    2     YES      29981645276     99.94%
43    87    YES      29981485726     99.94%
1     116   YES      29981350658     99.94%
62    72    YES      29981080090     99.94%
73    127   YES      29980655714     99.94%
93    27    YES      29979736936     99.93%
69    30    YES      29979466950     99.93%
68    14    YES      29978489180     99.93%
27    16    YES      29977102812     99.92%
5     3     YES      29977026156     99.92%
57    81    YES      29976727414     99.92%
103   78    YES      29976717858     99.92%
85    20    YES      29976480214     99.92%
112   79    YES      29976266022     99.92%
8     37    YES      29975995726     99.92%
57    97    YES      29975032376     99.92%
122   94    YES      29974893090     99.92%
32    74    YES      29974870524     99.92%
70    25    YES      29974527980     99.92%
61    47    YES      29973330150     99.91%
35    27    YES      29972948146     99.91%
32    101   YES      29972867232     99.91%
11    80    YES      29971436189     99.90%
122   36    YES      29971259342     99.90%
26    51    YES      29970996578     99.90%
84    127   YES      29970634183     99.90%
55    118   YES      29970410782     99.90%
107   70    YES      29969593788     99.90%
76    88    YES      29969375454     99.90%
16    26    YES      29967765658     99.89%
39    103   YES      29967481196     99.89%
106   97    YES      29967361714     99.89%
96    73    YES      29967294870     99.89%
59    50    YES      29966948936     99.89%
4     47    YES      29966582664     99.89%
35    109   YES      29966504294     99.89%
81    48    YES      29966239986     99.89%
72    100   YES      29966084314     99.89%
3     19    YES      29965947912     99.89%
80    98    YES      29965539738     99.89%
62    97    YES      29965303684     99.88%
19    46    YES      29965171970     99.88%
101   92    YES      29965023218     99.88%
125   82    YES      29964704056     99.88%
124   34    YES      29964648868     99.88%
96    117   YES      29964349636     99.88%
47    97    YES      29963978702     99.88%
68    8     YES      29963971718     99.88%
102   123   YES      29963860592     99.88%
124   86    YES      29963514174     99.88%
42    61    YES      29963472506     99.88%
102   67    YES      29963469350     99.88%
80    66    YES      29962542666     99.88%
118   73    YES      29962379678     99.87%
63    64    YES      29961855044     99.87%
42    46    YES      29961597204     99.87%
76    4     YES      29961581384     99.87%
113   2     YES      29960557404     99.87%
43    45    YES      29960441607     99.87%
40    54    YES      29959780980     99.87%
53    37    YES      29959529930     99.87%
77    127   YES      29959303702     99.86%
31    8     YES      29958142022     99.86%
121   29    YES      29958003032     99.86%
45    97    YES      29957739099     99.86%
13    8     YES      29957681556     99.86%
50    120   YES      29957411680     99.86%
19    62    YES      29957270976     99.86%
76    58    YES      29957190418     99.86%
71    124   YES      29956998574     99.86%
107   28    YES      29956930305     99.86%
34    126   YES      29956712470     99.86%
89    118   YES      29956616068     99.86%
54    1     YES      29955309704     99.85%
126   72    YES      29954015006     99.85%
37    109   YES      29953686352     99.85%
94    6     YES      29953019668     99.84%
38    108   YES      29952885160     99.84%
47    111   YES      29952867390     99.84%
2     1     YES      29952838242     99.84%
1     36    YES      29952611292     99.84%
22    2     YES      29952510686     99.84%
125   56    YES      29952491804     99.84%
99    107   YES      29952458070     99.84%
2     67    YES      29952417818     99.84%
111   14    YES      29951648662     99.84%
108   23    YES      29951564588     99.84%
57    49    YES      29951373298     99.84%
0     89    YES      29950983744     99.84%
102   40    YES      29950866984     99.84%
103   36    YES      29950604418     99.84%
75    61    YES      29950356628     99.83%
97    26    YES      29949943307     99.83%
54    14    YES      29949357774     99.83%
93    40    YES      29948929228     99.83%
22    44    YES      29948644208     99.83%
77    109   YES      29948434658     99.83%
22    58    YES      29948042700     99.83%
118   96    YES      29948020588     99.83%
12    30    YES      29947768578     99.83%
85    34    YES      29947354218     99.82%
22    127   YES      29947345932     99.82%
17    55    YES      29947212462     99.82%
88    65    YES      29947149859     99.82%
13    77    YES      29947002570     99.82%
89    104   YES      29946866776     99.82%
92    10    YES      29946715926     99.82%
11    110   YES      29946549848     99.82%
48    91    YES      29946241391     99.82%
119   115   YES      29945937500     99.82%
29    73    YES      29945517994     99.82%
114   119   YES      29945500652     99.82%
55    18    YES      29944770061     99.82%
67    102   YES      29944542694     99.82%
88    71    YES      29944411476     99.81%
117   60    YES      29944102293     99.81%
98    11    YES      29943828748     99.81%
127   80    YES      29943754530     99.81%
122   39    YES      29943751144     99.81%
44    74    YES      29943694552     99.81%
123   107   YES      29943673820     99.81%
3     106   YES      29943518052     99.81%
36    72    YES      29943403206     99.81%
125   73    YES      29943303584     99.81%
17    72    YES      29943245026     99.81%
0     84    YES      29943090148     99.81%
21    63    YES      29942906331     99.81%
11    81    YES      29942775390     99.81%
80    50    YES      29942497042     99.81%
50    30    YES      29942488886     99.81%
85    104   YES      29942382925     99.81%
73    53    YES      29942311526     99.81%
52    10    YES      29942036876     99.81%
90    16    YES      29941767557     99.81%
29    78    YES      29941713680     99.81%
82    6     YES      29941627456     99.81%
68    94    YES      29941473440     99.80%
109   59    YES      29941349982     99.80%
32    50    YES      29941239926     99.80%
101   16    YES      29941057632     99.80%
37    110   YES      29940827954     99.80%
19    115   YES      29940796988     99.80%
119   111   YES      29940737174     99.80%
79    40    YES      29940714242     99.80%
46    120   YES      29940655836     99.80%
78    111   YES      29940594700     99.80%
56    63    YES      29940158486     99.80%
100   41    YES      29940015194     99.80%
115   26    YES      29939927878     99.80%
65    0     YES      29939112268     99.80%
74    127   YES      29939029825     99.80%
88    117   YES      29938908874     99.80%
120   77    YES      29938803032     99.80%
77    33    YES      29938553074     99.80%
26    102   YES      29938378386     99.79%
29    86    YES      29938189823     99.79%
15    97    YES      29938141784     99.79%
7     91    YES      29937690372     99.79%
44    126   YES      29937644478     99.79%
102   43    YES      29936804226     99.79%
75    111   YES      29936749122     99.79%
35    72    YES      29936673398     99.79%
45    110   YES      29936653924     99.79%
87    83    YES      29936582438     99.79%
11    48    YES      29936139756     99.79%
29    55    YES      29936068317     99.79%
65    101   YES      29936061796     99.79%
100   98    YES      29936007128     99.79%
95    83    YES      29935933063     99.79%
34    9     YES      29935894683     99.79%
60    110   YES      29935754640     99.79%
39    122   YES      29935485856     99.78%
17    58    YES      29935453456     99.78%
96    14    YES      29935230252     99.78%
104   87    YES      29935126808     99.78%
116   114   YES      29935033274     99.78%
114   26    YES      29934963088     99.78%
28    78    YES      29934834234     99.78%
77    78    YES      29934661449     99.78%
113   24    YES      29934372430     99.78%
84    10    YES      29934331160     99.78%
116   58    YES      29934260372     99.78%
57    91    YES      29934183318     99.78%
30    101   YES      29934099455     99.78%
34    122   YES      29933597059     99.78%
120   7     YES      29933531514     99.78%
98    87    YES      29933423278     99.78%
121   28    YES      29933215891     99.78%
111   12    YES      29933123410     99.78%
86    17    YES      29933101514     99.78%
90    29    YES      29933075188     99.78%
76    74    YES      29932950350     99.78%
