Src   Dst   Srvport  Utilized (ns)   Utilization
302   21    YES      29808109812     59.62%
136   1     YES      29737470598     59.47%
188   7     YES      29619738224     59.24%
295   20    YES      29381057908     58.76%
308   22    YES      29176174765     58.35%
245   14    YES      29142494801     58.28%
268   17    YES      29131833655     58.26%
151   2     YES      29125904869     58.25%
236   13    YES      29083066542     58.17%
266   17    YES      29017986124     58.04%
315   23    YES      28924677187     57.85%
240   14    YES      28904081070     57.81%
220   11    YES      28896964039     57.79%
139   1     YES      28889984340     57.78%
177   6     YES      28876960414     57.75%
207   9     YES      28870343404     57.74%
259   16    YES      28866704808     57.73%
288   20    YES      28866514769     57.73%
157   3     YES      28862607785     57.73%
186   7     YES      28849068008     57.70%
190   7     YES      28840104391     57.68%
249   15    YES      28826378259     57.65%
275   18    YES      28825461474     57.65%
242   14    YES      28819541772     57.64%
244   14    YES      28816580637     57.63%
241   14    YES      28801372905     57.60%
182   6     YES      28788511996     57.58%
226   12    YES      28770951304     57.54%
183   6     YES      28766389788     57.53%
204   9     YES      28761881272     57.52%
198   8     YES      28754107559     57.51%
193   8     YES      28745602963     57.49%
175   5     YES      28696579522     57.39%
232   13    YES      28688512160     57.38%
135   0     YES      28684346855     57.37%
201   9     YES      28676475742     57.35%
305   22    YES      28674380435     57.35%
165   4     YES      28661151608     57.32%
218   11    YES      28639612818     57.28%
217   11    YES      28605977404     57.21%
185   7     YES      28598155033     57.20%
187   7     YES      28584015631     57.17%
179   6     YES      28563641861     57.13%
293   20    YES      28541168616     57.08%
283   19    YES      28540459458     57.08%
252   15    YES      28507728346     57.02%
191   7     YES      28503634999     57.01%
194   8     YES      28494107986     56.99%
214   10    YES      28484552732     56.97%
143   1     YES      28476754418     56.95%
279   18    YES      28454540695     56.91%
239   13    YES      28437520218     56.88%
311   22    YES      28430201460     56.86%
248   15    YES      28423669451     56.85%
168   5     YES      28420733386     56.84%
164   4     YES      28401740746     56.80%
224   12    YES      28399271770     56.80%
219   11    YES      28380171336     56.76%
299   21    YES      28370263145     56.74%
174   5     YES      28369810856     56.74%
163   4     YES      28323152733     56.65%
235   13    YES      28316647180     56.63%
276   18    YES      28308909476     56.62%
178   6     YES      28301721920     56.60%
307   22    YES      28289611199     56.58%
167   4     YES      28287193523     56.57%
258   16    YES      28280924734     56.56%
289   20    YES      28280373789     56.56%
265   17    YES      28279192104     56.56%
149   2     YES      28245315369     56.49%
137   1     YES      28228110996     56.46%
159   3     YES      28223831230     56.45%
150   2     YES      28223418685     56.45%
228   12    YES      28222833676     56.45%
208   10    YES      28219263631     56.44%
171   5     YES      28215594112     56.43%
273   18    YES      28201469566     56.40%
154   3     YES      28191078837     56.38%
170   5     YES      28189104801     56.38%
144   2     YES      28172017097     56.34%
184   7     YES      28168701257     56.34%
134   0     YES      28163538710     56.33%
196   8     YES      28161566365     56.32%
130   0     YES      28159174247     56.32%
205   9     YES      28152036776     56.30%
141   1     YES      28126374469     56.25%
277   18    YES      28122348209     56.24%
138   1     YES      28121606421     56.24%
197   8     YES      28115558055     56.23%
256   16    YES      28112584318     56.23%
133   0     YES      28087353340     56.17%
254   15    YES      28083016086     56.17%
310   22    YES      28077479837     56.15%
257   16    YES      28076251918     56.15%
209   10    YES      28069649496     56.14%
233   13    YES      28067804059     56.14%
304   22    YES      28067477412     56.13%
223   11    YES      28066364330     56.13%
153   3     YES      28066040524     56.13%
225   12    YES      28058368451     56.12%
243   14    YES      28048501154     56.10%
152   3     YES      28044467093     56.09%
213   10    YES      28030961236     56.06%
282   19    YES      28030702985     56.06%
145   2     YES      28022515385     56.05%
313   23    YES      27998068352     56.00%
147   2     YES      27980538404     55.96%
264   17    YES      27971125051     55.94%
237   13    YES      27961490860     55.92%
297   21    YES      27960554997     55.92%
142   1     YES      27956135603     55.91%
180   6     YES      27940795923     55.88%
285   19    YES      27940620452     55.88%
173   5     YES      27921003258     55.84%
261   16    YES      27909359902     55.82%
300   21    YES      27908911988     55.82%
280   19    YES      27904197438     55.81%
231   12    YES      27899952839     55.80%
202   9     YES      27893837918     55.79%
271   17    YES      27887199711     55.77%
176   6     YES      27876560186     55.75%
206   9     YES      27872370465     55.74%
292   20    YES      27867923161     55.74%
246   14    YES      27857795653     55.72%
131   0     YES      27854447881     55.71%
272   18    YES      27849970654     55.70%
189   7     YES      27849459801     55.70%
158   3     YES      27826026777     55.65%
19    7     NO       27824038294     55.65%
247   14    YES      27808309309     55.62%
132   0     YES      27801930967     55.60%
267   17    YES      27801228496     55.60%
140   1     YES      27788164037     55.58%
312   23    YES      27786944020     55.57%
274   18    YES      27775560134     55.55%
278   18    YES      27752988789     55.51%
199   8     YES      27746734910     55.49%
251   15    YES      27745730044     55.49%
303   21    YES      27745646996     55.49%
290   20    YES      27738842421     55.48%
230   12    YES      27737616153     55.48%
281   19    YES      27731211983     55.46%
291   20    YES      27726144701     55.45%
253   15    YES      27707093644     55.41%
192   8     YES      27689843254     55.38%
287   19    YES      27682649962     55.37%
260   16    YES      27670848407     55.34%
319   23    YES      27669643304     55.34%
146   2     YES      27659644168     55.32%
238   13    YES      27658017453     55.32%
309   22    YES      27648653883     55.30%
